epoch,bias
0,0.01
1,0.0107592
2,0.0115194
3,0.0122807
4,0.013043
5,0.0138063
6,0.0145705
7,0.0153357
8,0.0161018
9,0.0168688
10,0.0176366
11,0.0184053
12,0.0191747
13,0.019945
14,0.020716
15,0.0214877
16,0.0222602
17,0.0230334
18,0.0238073
19,0.0245818
20,0.0253569
21,0.0261327
22,0.0269091
23,0.027686
24,0.0284636
25,0.0292417
26,0.0300203
27,0.0307994
28,0.031579
29,0.0323591
30,0.0331397
31,0.0339208
32,0.0347022
33,0.0354842
34,0.0362665
35,0.0370492
36,0.0378323
37,0.0386158
38,0.0393996
39,0.0401838
40,0.0409683
41,0.0417531
42,0.0425383
43,0.0433237
44,0.0441095
45,0.0448955
46,0.0456818
47,0.0464684
48,0.0472552
49,0.0480422
50,0.0488295
51,0.049617
52,0.0504047
53,0.0511926
54,0.0519807
55,0.052769
56,0.0535574
57,0.0543461
58,0.0551348
59,0.0559238
60,0.0567129
61,0.0575021
62,0.0582915
63,0.059081
64,0.0598706
65,0.0606603
66,0.0614502
67,0.0622401
68,0.0630301
69,0.0638202
70,0.0646104
71,0.0654007
72,0.0661911
73,0.0669815
74,0.0677719
75,0.0685625
76,0.069353
77,0.0701436
78,0.0709343
79,0.071725
80,0.0725157
81,0.0733065
82,0.0740972
83,0.074888
84,0.0756788
85,0.0764696
86,0.0772604
87,0.0780512
88,0.0788421
89,0.0796329
90,0.0804237
91,0.0812144
92,0.0820052
93,0.082796
94,0.0835867
95,0.0843774
96,0.085168
97,0.0859587
98,0.0867493
99,0.0875398
100,0.0883303
101,0.0891208
102,0.0899112
103,0.0907016
104,0.0914919
105,0.0922822
106,0.0930724
107,0.0938626
108,0.0946527
109,0.0954427
110,0.0962327
111,0.0970226
112,0.0978124
113,0.0986021
114,0.0993918
115,0.100181
116,0.100971
117,0.10176
118,0.10255
119,0.103339
120,0.104128
121,0.104917
122,0.105706
123,0.106495
124,0.107284
125,0.108073
126,0.108861
127,0.10965
128,0.110438
129,0.111227
130,0.112015
131,0.112803
132,0.113591
133,0.114379
134,0.115167
135,0.115955
136,0.116742
137,0.11753
138,0.118317
139,0.119104
140,0.119892
141,0.120679
142,0.121465
143,0.122252
144,0.123039
145,0.123826
146,0.124612
147,0.125398
148,0.126185
149,0.126971
150,0.127757
151,0.128543
152,0.129328
153,0.130114
